City,Cloud Coverage (%),Humidity (%),Latitude,Longitude,Temp (F),Wind (mph)
calama,0,19,-22.46,-68.93,71.6,21.92
road town,40,54,18.42,-64.62,79.41,8.05
misratah,0,87,32.38,15.09,59.39,4.83
key largo,75,69,25.09,-80.45,76.86,11.41
porto velho,75,74,-8.75,-63.87,80.6,3.36
kiruna,0,91,67.86,20.23,3.2,8.05
zomin,0,83,39.96,68.4,44.99,3.27
qaanaaq,64,83,77.48,-69.36,7.37,12.1
aklavik,75,83,68.22,-135.01,-3.84,2.24
bluff,92,98,-23.58,149.07,74.47,10.87
sibolga,76,100,1.74,98.78,68.57,1.7
galdar,75,72,28.15,-15.65,66.2,21.92
proti,92,100,40.82,21.4,32.53,1.14
lavrentiya,0,100,65.58,-170.99,9.62,14.0
alabaster,1,32,33.24,-86.82,68.83,5.82
joshimath,8,100,30.57,79.57,7.15,0.36
tigil,20,61,57.8,158.67,-7.53,2.93
lebu,75,93,8.96,38.73,57.2,3.6
nyurba,48,66,63.29,118.35,-22.56,2.82
chicla,88,100,-11.71,-76.27,42.56,2.37
strezhevoy,44,82,60.73,77.6,-22.01,3.15
nizhniy kuranakh,32,52,58.84,125.49,-18.91,1.92
cape town,0,77,-33.93,18.42,64.4,13.87
hithadhoo,80,100,-0.6,73.08,83.47,5.17
cidreira,92,84,-30.17,-50.22,75.37,5.17
lawrenceburg,1,34,35.24,-87.33,68.29,10.29
te anau,8,88,-45.41,167.72,54.67,3.49
changping,76,55,40.22,116.23,33.8,4.47
krasnoyarsk,40,83,56.01,92.87,-13.01,2.37
salta,40,60,-24.79,-65.41,77.22,9.17
venado tuerto,36,54,-33.75,-61.97,84.1,4.61
provideniya,0,52,64.42,-173.23,19.4,13.42
kamenka,24,83,53.19,44.05,-5.14,10.98
cerro cama,40,46,9.03,-79.91,88.65,17.22
marica,75,83,-22.92,-42.82,80.6,9.17
bambous virieux,40,78,-20.34,57.76,80.6,9.17
cap malheureux,40,78,-19.98,57.61,80.6,9.17
lamu,24,100,0.57,122.3,71.59,3.38
kahului,40,65,20.89,-156.47,75.06,17.22
yinchuan,0,66,38.48,106.21,19.57,4.83
deputatskiy,36,66,69.3,139.9,-23.59,2.93
pevek,76,89,69.7,170.27,1.93,20.6
kingman,90,54,35.19,-114.05,53.6,9.17
mpika,56,92,-11.84,31.4,63.71,2.15
vila franca do campo,40,87,37.72,-25.43,55.4,13.87
tanhacu,0,48,-14.02,-41.25,81.94,5.84
shakawe,92,95,-18.36,21.84,67.0,11.54
inverness,20,100,57.48,-4.23,28.56,4.7
agua prieta,1,12,31.32,-109.55,64.4,24.16
la palma,88,70,5.36,-74.39,74.38,2.59
chuy,8,68,-33.69,-53.46,74.56,9.75
klaebu,0,60,63.3,10.48,10.85,8.05
tuktoyaktuk,90,83,69.44,-133.03,-1.52,9.17
ust-ordynskiy,0,77,52.8,104.75,-0.41,6.71
bend,75,47,44.06,-121.32,33.8,5.82
mount pleasant,75,88,33.16,-94.97,62.94,8.05
kirovsk,32,79,67.62,33.66,-1.05,2.15
uyuni,0,49,-20.46,-66.82,58.94,8.75
thompson,75,67,55.74,-97.86,21.2,10.29
mecca,0,54,21.43,39.83,80.6,2.48
pacific grove,1,34,36.62,-121.92,52.7,10.29
turki,44,72,51.98,43.27,-2.13,13.11
hudiksvall,64,100,61.73,17.1,15.52,15.01
linares,56,42,-35.85,-71.6,74.42,3.15
waddan,0,25,29.16,16.14,67.45,11.54
roald,0,32,62.58,6.12,20.37,25.28
price,1,22,39.6,-110.81,44.6,5.82
taitung,75,82,22.76,121.15,68.0,3.36
daru,64,75,7.99,-10.85,77.39,3.94
tessalit,0,42,20.2,1.01,68.84,6.17
faanui,80,97,-16.48,-151.75,82.84,12.33
kahone,0,32,14.16,-16.04,81.71,10.2
ponta do sol,36,83,-20.63,-46.0,74.47,2.15
najran,0,25,17.54,44.22,77.0,9.17
victor harbor,75,63,-35.55,138.62,66.2,21.92
resen,88,100,41.09,21.01,31.94,5.84
onalaska,1,62,43.88,-91.23,54.68,6.96
kodiak,1,40,39.95,-94.76,69.8,21.92
hualmay,20,64,-11.1,-77.61,74.74,5.28
puerto escondido,5,69,15.86,-97.07,82.4,9.17
suba,36,89,28.73,103.51,42.34,2.04
warrnambool,56,83,-38.38,142.48,66.41,18.7
karratha,0,71,-20.74,116.85,76.04,7.85
miyako,40,87,33.63,130.94,42.8,3.36
la ronge,90,62,55.1,-105.3,24.8,8.05
ghanzi,68,83,-21.7,21.65,66.55,11.54
ndago,8,100,-0.97,29.98,53.77,2.37
muriwai beach,92,73,-36.82,174.45,71.6,18.34
tiarei,20,62,-17.53,-149.33,86.0,5.82
ambovombe,92,98,-25.18,46.09,75.37,9.75
ternate,40,100,14.29,120.72,78.8,4.7
neryungri,44,32,56.66,124.71,-24.0,2.93
norman wells,75,84,65.28,-126.83,-0.41,6.93
antofagasta,20,64,-23.65,-70.4,69.8,16.11
morros,75,78,-2.87,-44.04,82.4,13.87
hobart,75,68,-42.88,147.33,64.4,8.05
hovd,0,60,63.83,10.7,10.6,8.05
akdepe,90,93,42.05,59.39,36.45,4.7
srednekolymsk,88,75,67.46,153.71,-6.72,2.71
sitka,88,63,37.17,-99.65,60.11,12.44
jumla,0,99,29.28,82.18,22.22,1.7
portland,90,99,45.52,-122.67,41.88,13.87
berlevag,40,79,70.86,29.09,21.69,29.97
esperance,40,78,10.24,-61.45,77.0,5.82
thurso,40,92,58.6,-3.52,31.15,27.51
pangoa,44,86,-12.12,-73.0,74.74,2.71
buraydah,0,60,26.33,43.97,68.0,6.93
port elizabeth,1,30,39.31,-74.98,54.81,5.82
bud,0,48,62.91,6.91,21.87,12.75
westport,48,97,53.8,-9.52,34.06,12.44
rutigliano,20,86,41.01,17.01,31.6,10.29
